Region,School,Snumber,BEL12,MAT12,informatics12,IT12,Code,ClassName,TypeClass,Profil,FormulaRaw,CodeProfession,StudyForm,FirstLang,SecondLang,Formula_modified,YourScore,MinLY,MaxLY
ОБОРИЩЕ,"1 Средно училище ""Пенчо П. Славейков""",2216001,4.86,0,0,0,1906,"Хуманитарни науки - ИЕ интензивно, АЕ",профилирана,Хуманитарни науки,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ЧЕз),80081,дневна,Испански език,интензивно,(3 * BELNVO + 1 * MATNVO) + (1 * Bul + 1 * English),327,423.25,436.25
ОБОРИЩЕ,"1 Средно училище ""Пенчо П. Славейков""",2216001,4.86,0,0,0,1907,"Природни науки - БЗО и ХООС - АЕ интензивно, ИЕ",профилирана,Природни науки,(3 * БЕЛ + 1 * МАТ) + (1 * БЗО + 1 * ЧЕз),80131,дневна,Английски език,интензивно,(3 * BELNVO + 1 * MATNVO) + (1 * Biology + 1 * English),327,403.75,418
ОБОРИЩЕ,"1 Средно училище ""Пенчо П. Славейков""",2216001,4.86,0,0,0,4407,"Икономическо развитие - АЕ разширено, ГИ",профилирана,Икономическо развитие,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ГИ),80101,дневна,Английски език,разширено,(3 * BELNVO + 1 * MATNVO) + (1 * Bul + 1 * Geo),338,394.5,422
ОБОРИЩЕ,"1 Средно училище ""Пенчо П. Славейков""",2216001,4.86,0,0,0,4880,"Маркетингови проучвания -  АЕ интензивно, ИЕ",професионална,Маркетингови проучвания,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ЧЕз),3420201,дневна,Английски език,интензивно,(3 * BELNVO + 1 * MATNVO) + (1 * Bul + 1 * English),327,,
ОБОРИЩЕ,"164. гимназия с преподаване на испански език ""Мигел де Сервантес""",2216164,5.65,5.46,0,0,2561,"Чужди езици - ИЕ интензивно, АЕ",профилирана,Чужди езици,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),80071,дневна,Испански език,интензивно,(2 * BELNVO + 2 * MATNVO) + (1 * Bul + 1 * Math),296,468,491
ОБОРИЩЕ,"164. гимназия с преподаване на испански език ""Мигел де Сервантес""",2216164,5.65,5.46,0,0,2562,"Чужди езици - ИЕ интензивно, ФЕ",профилирана,Чужди езици,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),80071,дневна,Испански език,интензивно,(2 * BELNVO + 2 * MATNVO) + (1 * Bul + 1 * Math),296,456,474
ОБОРИЩЕ,"164. гимназия с преподаване на испански език ""Мигел де Сервантес""",2216164,5.65,5.46,0,0,2564,"Чужди езици - ИЕ интензивно, ИтЕ",профилирана,Чужди езици,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),80071,дневна,Испански език,интензивно,(2 * BELNVO + 2 * MATNVO) + (1 * Bul + 1 * Math),296,460.5,487
ОБОРИЩЕ,"164. гимназия с преподаване на испански език ""Мигел де Сервантес""",2216164,5.65,5.46,0,0,2569,"Чужди езици - ИЕ интензивно, ПортЕ",профилирана,Чужди езици,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),80071,дневна,Испански език,интензивно,(2 * BELNVO + 2 * MATNVO) + (1 * Bul + 1 * Math),296,457.5,460
ОБОРИЩЕ,Първа английска езикова гимназия,2216301,5.59,5.31,0,0,649,"Чужди езици - АЕ интензивно, РЕ",профилирана,Чужди езици,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),80071,дневна,Английски език,интензивно,(2 * BELNVO + 2 * MATNVO) + (1 * Bul + 1 * Math),296,441.5,482
ОБОРИЩЕ,Първа английска езикова гимназия,2216301,5.59,5.31,0,0,672,"Чужди езици - АЕ интензивно, ИЕ",профилирана,Чужди езици,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),80071,дневна,Английски език,интензивно,(2 * BELNVO + 2 * MATNVO) + (1 * Bul + 1 * Math),296,446,472
ОБОРИЩЕ,Първа английска езикова гимназия,2216301,5.59,5.31,0,0,727,"Чужди езици - АЕ интензивно, НЕ",профилирана,Чужди езици,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),80071,дневна,Английски език,интензивно,(2 * BELNVO + 2 * MATNVO) + (1 * Bul + 1 * Math),296,450.5,494
ОБОРИЩЕ,Първа английска езикова гимназия,2216301,5.59,5.31,0,0,752,"Чужди езици - АЕ интензивно, ФЕ",профилирана,Чужди езици,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),80071,дневна,Английски език,интензивно,(2 * BELNVO + 2 * MATNVO) + (1 * Bul + 1 * Math),296,441,465
ОБОРИЩЕ,Първа английска езикова гимназия,2216301,5.59,5.31,0,0,3349,"Предприемачески - АЕ интензивно, НЕ",профилирана,Предприемачески,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),80171,дневна,Английски език,интензивно,(2 * BELNVO + 2 * MATNVO) + (1 * Bul + 1 * Math),296,445,458
ОБОРИЩЕ,"Софийска математическа гимназия ""Паисий Хилендарски""",2216306,5.52,5.72,0,0,2277,Математически (математика и информатика) - АЕ (РИЧЕ),профилирана,Математически,(1 * БЕЛ + 3 * МАТ) + (1 * БЕЛ + 1 * М),80121,дневна,Английски език,разширено,(1 * BELNVO + 3 * MATNVO) + (1 * Bul + 1 * Math),265,485.75,499.5
ОБОРИЩЕ,"Софийска математическа гимназия ""Паисий Хилендарски""",2216306,5.52,5.72,0,0,3909,Математически (математика и информатика) - НЕ (ИИЧЕ),профилирана,Математически,(1 * БЕЛ + 3 * МАТ) + (1 * БЕЛ + 1 * М),80121,дневна,Немски език,интензивно,(1 * BELNVO + 3 * MATNVO) + (1 * Bul + 1 * Math),265,483.5,497.5
ОБОРИЩЕ,"Софийска математическа гимназия ""Паисий Хилендарски""",2216306,5.52,5.72,0,0,4486,Математически (математика и физика) - АЕ (РИЧЕ),профилирана,Математически,(1 * БЕЛ + 3 * МАТ) + (1 * БЕЛ + 1 * М),80121,дневна,Английски език,разширено,(1 * BELNVO + 3 * MATNVO) + (1 * Bul + 1 * Math),265,486,497.5
ОБОРИЩЕ,"Софийска математическа гимназия ""Паисий Хилендарски""",2216306,5.52,5.72,0,0,5011,Математически (математика и физика) - НЕ (ИИЧЕ),профилирана,Математически,(1 * БЕЛ + 3 * МАТ) + (1 * БЕЛ + 1 * М),80121,дневна,Немски език,интензивно,(1 * BELNVO + 3 * MATNVO) + (1 * Bul + 1 * Math),265,,
ОБОРИЩЕ,"Професионална гимназия по механоелектротехника ""Н.Й.Вапцаров""",2216422,3.48,0,0,0,2177,Електрообзавеждане на производството - електромонтьор,професионална,Електрообзавеждане на производството,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),5220204,дневна,Английски език,без инт. и без разширено,(2 * BELNVO + 2 * MATNVO) + (1 * Bul + 1 * Math),296,84,284
ОБОРИЩЕ,"Професионална гимназия по механоелектротехника ""Н.Й.Вапцаров""",2216422,3.48,0,0,0,2193,Промишлена електроника - АЕ,професионална,Промишлена електроника,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),5230301,дневна,Английски език,разширено,(2 * BELNVO + 2 * MATNVO) + (1 * Bul + 1 * Math),296,100,356
ОБОРИЩЕ,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,2216423,4.05,0,0,0,1277,Кетъринг - РЕ,професионална,Кетъринг,(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * БЗО),8110603,дневна,Руски език,разширено,(2 * BELNVO + 2 * MATNVO) + (1 * Geo + 1 * Biology),307,207,262
ОБОРИЩЕ,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,2216423,4.05,0,0,0,1281,Кетъринг - ИЕ,професионална,Кетъринг,(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * БЗО),8110603,дневна,Испански език,разширено,(2 * BELNVO + 2 * MATNVO) + (1 * Geo + 1 * Biology),307,229.5,336.5
ОБОРИЩЕ,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,2216423,4.05,0,0,0,1283,Производство и обслужване в заведенията за хранене и развлечения - ИтЕ,професионална,Производство и обслужване в заведенията за хранене и развлечения,(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * БЗО),8110602,дневна,Италиански език,разширено,(2 * BELNVO + 2 * MATNVO) + (1 * Geo + 1 * Biology),307,220,342
ОБОРИЩЕ,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,2216423,4.05,0,0,0,1284,Производство и обслужване в заведенията за хранене и развлечения - НЕ,професионална,Производство и обслужване в заведенията за хранене и развлечения,(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * БЗО),8110602,дневна,Немски език,разширено,(2 * BELNVO + 2 * MATNVO) + (1 * Geo + 1 * Biology),307,203.5,264
ОБОРИЩЕ,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,2216423,4.05,0,0,0,1285,Организация на хотелиерството - АЕ,професионална,Организация на хотелиерството,(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * БЗО),8110101,дневна,Английски език,разширено,(2 * BELNVO + 2 * MATNVO) + (1 * Geo + 1 * Biology),307,250,322.5
